# BEGIN PLOT

# END PLOT

# BEGIN HISTO2D //global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_tau152D
Path=//global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_tau152D
ScaledBy=1.00000000000000000e+00
Title=Rivet
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
-3.000000e+00	-2.742857e+00	1.500000e+02	3.604217e+02	1.219772e+00	1.501436e-01	1.501436e-01
-3.000000e+00	-2.742857e+00	3.604217e+02	8.660254e+02	2.845881e-01	4.678600e-02	4.678600e-02
-3.000000e+00	-2.742857e+00	8.660254e+02	2.080896e+03	8.322784e-02	1.632232e-02	1.632232e-02
-3.000000e+00	-2.742857e+00	2.080896e+03	5.000000e+03	5.328877e-03	2.664439e-03	2.664439e-03
-2.742857e+00	-2.485714e+00	1.500000e+02	3.604217e+02	1.774214e+00	1.810800e-01	1.810800e-01
-2.742857e+00	-2.485714e+00	3.604217e+02	8.660254e+02	4.691858e-01	6.007309e-02	6.007309e-02
-2.742857e+00	-2.485714e+00	8.660254e+02	2.080896e+03	6.402141e-02	1.431562e-02	1.431562e-02
-2.742857e+00	-2.485714e+00	2.080896e+03	5.000000e+03	1.731885e-02	4.803385e-03	4.803385e-03
-2.485714e+00	-2.228571e+00	1.500000e+02	3.604217e+02	2.421063e+00	2.115292e-01	2.115292e-01
-2.485714e+00	-2.228571e+00	3.604217e+02	8.660254e+02	5.384100e-01	6.435230e-02	6.435230e-02
-2.485714e+00	-2.228571e+00	8.660254e+02	2.080896e+03	7.042356e-02	1.501435e-02	1.501435e-02
-2.485714e+00	-2.228571e+00	2.080896e+03	5.000000e+03	3.996658e-03	2.307472e-03	2.307472e-03
-2.228571e+00	-1.971429e+00	1.500000e+02	3.604217e+02	2.827665e+00	2.286031e-01	2.286031e-01
-2.228571e+00	-1.971429e+00	3.604217e+02	8.660254e+02	5.461037e-01	6.481058e-02	6.481058e-02
-2.228571e+00	-1.971429e+00	8.660254e+02	2.080896e+03	5.761950e-02	1.358105e-02	1.358105e-02
-2.228571e+00	-1.971429e+00	2.080896e+03	5.000000e+03	9.325571e-03	3.524735e-03	3.524735e-03
-1.971429e+00	-1.714286e+00	1.500000e+02	3.604217e+02	2.772209e+00	2.263499e-01	2.263499e-01
-1.971429e+00	-1.714286e+00	3.604217e+02	8.660254e+02	5.537931e-01	6.526514e-02	6.526514e-02
-1.971429e+00	-1.714286e+00	8.660254e+02	2.080896e+03	2.880964e-02	9.603212e-03	9.603212e-03
-1.971429e+00	-1.714286e+00	2.080896e+03	5.000000e+03	3.996658e-03	2.307472e-03	2.307472e-03
-1.714286e+00	-1.457143e+00	1.500000e+02	3.604217e+02	2.439544e+00	2.123351e-01	2.123351e-01
-1.714286e+00	-1.457143e+00	3.604217e+02	8.660254e+02	3.691954e-01	5.328877e-02	5.328877e-02
-1.714286e+00	-1.457143e+00	8.660254e+02	2.080896e+03	3.521178e-02	1.061675e-02	1.061675e-02
-1.714286e+00	-1.457143e+00	2.080896e+03	5.000000e+03	7.993316e-03	3.263258e-03	3.263258e-03
-1.457143e+00	-1.200000e+00	1.500000e+02	3.604217e+02	1.607881e+00	1.723830e-01	1.723830e-01
-1.457143e+00	-1.200000e+00	3.604217e+02	8.660254e+02	2.461303e-01	4.351010e-02	4.351010e-02
-1.457143e+00	-1.200000e+00	8.660254e+02	2.080896e+03	1.920642e-02	7.840990e-03	7.840990e-03
-1.457143e+00	-1.200000e+00	2.080896e+03	5.000000e+03	2.664439e-03	1.884043e-03	1.884043e-03
# END HISTO2D

