# BEGIN PLOT

# END PLOT

# BEGIN HISTO2D //global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_ncharged2D
Path=//global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_ncharged2D
ScaledBy=1.00000000000000000e+00
Title=Rivet
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
5.000000e+00	6.000000e+00	8.660254e+02	2.080896e+03	1.728579e-02	3.772069e-03	3.772069e-03
5.000000e+00	6.000000e+00	2.080896e+03	5.000000e+03	4.110850e-03	1.186700e-03	1.186700e-03
6.000000e+00	7.000000e+00	1.500000e+02	3.604217e+02	6.083023e-01	5.376683e-02	5.376683e-02
6.000000e+00	7.000000e+00	3.604217e+02	8.660254e+02	1.364705e-01	1.642912e-02	1.642912e-02
6.000000e+00	7.000000e+00	8.660254e+02	2.080896e+03	1.728579e-02	3.772069e-03	3.772069e-03
6.000000e+00	7.000000e+00	2.080896e+03	5.000000e+03	2.397996e-03	9.063573e-04	9.063573e-04
7.000000e+00	8.000000e+00	1.500000e+02	3.604217e+02	4.419696e-01	4.583012e-02	4.583012e-02
7.000000e+00	8.000000e+00	3.604217e+02	8.660254e+02	1.166922e-01	1.519203e-02	1.519203e-02
7.000000e+00	8.000000e+00	8.660254e+02	2.080896e+03	1.810892e-02	3.860836e-03	3.860836e-03
7.000000e+00	8.000000e+00	2.080896e+03	5.000000e+03	1.712854e-03	7.660118e-04	7.660118e-04
8.000000e+00	9.000000e+00	1.500000e+02	3.604217e+02	3.374177e-01	4.004411e-02	4.004411e-02
8.000000e+00	9.000000e+00	3.604217e+02	8.660254e+02	8.306901e-02	1.281783e-02	1.281783e-02
8.000000e+00	9.000000e+00	8.660254e+02	2.080896e+03	1.563953e-02	3.587953e-03	3.587953e-03
8.000000e+00	9.000000e+00	2.080896e+03	5.000000e+03	2.055425e-03	8.391238e-04	8.391238e-04
9.000000e+00	1.000000e+01	1.500000e+02	3.604217e+02	1.948468e-01	3.042996e-02	3.042996e-02
9.000000e+00	1.000000e+01	3.604217e+02	8.660254e+02	6.131284e-02	1.101211e-02	1.101211e-02
9.000000e+00	1.000000e+01	8.660254e+02	2.080896e+03	1.399326e-02	3.393864e-03	3.393864e-03
9.000000e+00	1.000000e+01	2.080896e+03	5.000000e+03	2.397996e-03	9.063573e-04	9.063573e-04
1.000000e+01	1.100000e+01	1.500000e+02	3.604217e+02	1.235614e-01	2.423238e-02	2.423238e-02
1.000000e+01	1.100000e+01	3.604217e+02	8.660254e+02	4.549017e-02	9.485357e-03	9.485357e-03
1.000000e+01	1.100000e+01	8.660254e+02	2.080896e+03	4.938798e-03	2.016256e-03	2.016256e-03
1.000000e+01	1.100000e+01	2.080896e+03	5.000000e+03	1.370283e-03	6.851417e-04	6.851417e-04
1.100000e+01	1.200000e+01	1.500000e+02	3.604217e+02	6.178070e-02	1.713488e-02	1.713488e-02
1.100000e+01	1.200000e+01	3.604217e+02	8.660254e+02	2.175617e-02	6.559732e-03	6.559732e-03
1.100000e+01	1.200000e+01	8.660254e+02	2.080896e+03	4.938798e-03	2.016256e-03	2.016256e-03
1.100000e+01	1.200000e+01	2.080896e+03	5.000000e+03	1.027713e-03	5.933502e-04	5.933502e-04
1.200000e+01	1.300000e+01	1.500000e+02	3.604217e+02	2.851417e-02	1.164086e-02	1.164086e-02
1.200000e+01	1.300000e+01	3.604217e+02	8.660254e+02	2.175617e-02	6.559732e-03	6.559732e-03
1.200000e+01	1.300000e+01	8.660254e+02	2.080896e+03	8.231329e-04	8.231329e-04	8.231329e-04
1.200000e+01	1.300000e+01	2.080896e+03	5.000000e+03	3.425709e-04	3.425709e-04	3.425709e-04
1.300000e+01	1.400000e+01	1.500000e+02	3.604217e+02	1.900945e-02	9.504723e-03	9.504723e-03
1.300000e+01	1.400000e+01	3.604217e+02	8.660254e+02	1.582267e-02	5.594158e-03	5.594158e-03
1.300000e+01	1.400000e+01	8.660254e+02	2.080896e+03	3.292532e-03	1.646266e-03	1.646266e-03
1.300000e+01	1.400000e+01	2.080896e+03	5.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.400000e+01	1.500000e+01	1.500000e+02	3.604217e+02	4.752362e-03	4.752362e-03	4.752362e-03
1.400000e+01	1.500000e+01	3.604217e+02	8.660254e+02	3.955667e-03	2.797079e-03	2.797079e-03
1.400000e+01	1.500000e+01	8.660254e+02	2.080896e+03	8.231329e-04	8.231329e-04	8.231329e-04
1.400000e+01	1.500000e+01	2.080896e+03	5.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	1.600000e+01	1.500000e+02	3.604217e+02	9.504723e-03	6.720854e-03	6.720854e-03
1.500000e+01	1.600000e+01	3.604217e+02	8.660254e+02	1.977834e-03	1.977834e-03	1.977834e-03
1.500000e+01	1.600000e+01	8.660254e+02	2.080896e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.500000e+01	1.600000e+01	2.080896e+03	5.000000e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	1.700000e+01	1.500000e+02	3.604217e+02	4.752362e-03	4.752362e-03	4.752362e-03
1.600000e+01	1.700000e+01	3.604217e+02	8.660254e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	1.700000e+01	8.660254e+02	2.080896e+03	0.000000e+00	0.000000e+00	0.000000e+00
1.600000e+01	1.700000e+01	2.080896e+03	5.000000e+03	3.425709e-04	3.425709e-04	3.425709e-04
1.700000e+01	1.800000e+01	1.500000e+02	3.604217e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e+01	1.800000e+01	3.604217e+02	8.660254e+02	0.000000e+00	0.000000e+00	0.000000e+00
1.700000e+01	1.800000e+01	8.660254e+02	2.080896e+03	8.231329e-04	8.231329e-04	8.231329e-04
