# BEGIN PLOT

# END PLOT

# BEGIN HISTO2D //global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_tau102D
Path=//global/u2/v/vmikuni/H1/H1PCT/scripts/rivet_docker/Rivet.yoda/DIS_JetSubs/gen_jet_tau102D
ScaledBy=1.00000000000000000e+00
Title=Rivet
# xlow	 xhigh	 ylow	 yhigh	 val	 errminus	 errplus
-2.200000e+00	-2.028571e+00	1.500000e+02	3.604217e+02	1.857377e+00	2.269147e-01	2.269147e-01
-2.200000e+00	-2.028571e+00	3.604217e+02	8.660254e+02	4.153440e-01	6.922400e-02	6.922400e-02
-2.200000e+00	-2.028571e+00	8.660254e+02	2.080896e+03	1.008335e-01	2.200368e-02	2.200368e-02
-2.200000e+00	-2.028571e+00	2.080896e+03	5.000000e+03	1.598660e-02	5.652117e-03	5.652117e-03
-2.028571e+00	-1.857143e+00	1.500000e+02	3.604217e+02	2.494998e+00	2.629959e-01	2.629959e-01
-2.028571e+00	-1.857143e+00	3.604217e+02	8.660254e+02	7.153189e-01	9.084559e-02	9.084559e-02
-2.028571e+00	-1.857143e+00	8.660254e+02	2.080896e+03	8.642925e-02	2.037157e-02	2.037157e-02
-2.028571e+00	-1.857143e+00	2.080896e+03	5.000000e+03	1.798503e-02	5.995010e-03	5.995010e-03
-1.857143e+00	-1.685714e+00	1.500000e+02	3.604217e+02	3.021702e+00	2.894266e-01	2.894266e-01
-1.857143e+00	-1.685714e+00	3.604217e+02	8.660254e+02	7.037774e-01	9.010946e-02	9.010946e-02
-1.857143e+00	-1.685714e+00	8.660254e+02	2.080896e+03	1.056351e-01	2.252149e-02	2.252149e-02
-1.857143e+00	-1.685714e+00	2.080896e+03	5.000000e+03	1.998325e-03	1.998325e-03	1.998325e-03
-1.685714e+00	-1.514286e+00	1.500000e+02	3.604217e+02	3.964275e+00	3.315093e-01	3.315093e-01
-1.685714e+00	-1.514286e+00	3.604217e+02	8.660254e+02	7.153189e-01	9.084559e-02	9.084559e-02
-1.685714e+00	-1.514286e+00	8.660254e+02	2.080896e+03	7.682600e-02	1.920650e-02	1.920650e-02
-1.685714e+00	-1.514286e+00	2.080896e+03	5.000000e+03	1.398836e-02	5.287102e-03	5.287102e-03
-1.514286e+00	-1.342857e+00	1.500000e+02	3.604217e+02	3.936530e+00	3.303462e-01	3.303462e-01
-1.514286e+00	-1.342857e+00	3.604217e+02	8.660254e+02	7.730014e-01	9.443715e-02	9.443715e-02
-1.514286e+00	-1.342857e+00	8.660254e+02	2.080896e+03	2.880958e-02	1.176146e-02	1.176146e-02
-1.514286e+00	-1.342857e+00	2.080896e+03	5.000000e+03	9.991625e-03	4.468391e-03	4.468391e-03
-1.342857e+00	-1.171429e+00	1.500000e+02	3.604217e+02	3.520720e+00	3.124133e-01	3.124133e-01
-1.342857e+00	-1.171429e+00	3.604217e+02	8.660254e+02	5.653327e-01	8.076181e-02	8.076181e-02
-1.342857e+00	-1.171429e+00	8.660254e+02	2.080896e+03	3.361137e-02	1.270391e-02	1.270391e-02
-1.342857e+00	-1.171429e+00	2.080896e+03	5.000000e+03	5.995010e-03	3.461221e-03	3.461221e-03
-1.171429e+00	-1.000000e+00	1.500000e+02	3.604217e+02	2.633594e+00	2.702010e-01	2.702010e-01
-1.171429e+00	-1.000000e+00	3.604217e+02	8.660254e+02	3.922694e-01	6.727364e-02	6.727364e-02
-1.171429e+00	-1.000000e+00	8.660254e+02	2.080896e+03	5.761916e-02	1.663322e-02	1.663322e-02
-1.171429e+00	-1.000000e+00	2.080896e+03	5.000000e+03	5.994975e-03	3.461201e-03	3.461201e-03
# END HISTO2D

